Question Number,Question,Answer,Category,Difficulty
22,What is topological sorting?,"Topological sorting orders vertices in a directed acyclic graph such that for every directed edge u?v, u comes before v.",Algorithms,Hard
23,Implement a function to check if a binary tree is balanced.,Use a recursive function to check the height of each subtree; return false if the difference is more than one.,Algorithms,Hard
24,Write an algorithm to find the median of a stream of numbers.,"Use two heaps (max heap for lower half, min heap for upper half) to maintain the median.",Algorithms,Hard
25,Find the Kth largest element in a stream of numbers.,"Utilize a min-heap to keep track of the K largest elements, ensuring efficient insertion and extraction.",Algorithms,Hard
26,Implement Google's PageRank algorithm.,Use graph-based algorithms focusing on eigenvector calculation and iterative approaches.,Algorithms,Hard
27,Optimize a search algorithm for a large dataset in a distributed environment.,Implement distributed searching algorithms like MapReduce for scalability and efficiency.,Algorithms,Hard
28,Create a system to efficiently match job seekers with job postings.,"Use NLP for parsing resumes, implement ranking algorithms, and optimize for search and matching efficiency.",Algorithms,Hard
29,Develop an autonomous vehicle's path planning algorithm.,"Implement algorithms considering real-time obstacle avoidance, dynamic path adjustments, and efficient routing.",Algorithms,Hard
30,Create an efficient algorithm for real-time anomaly detection in network traffic.,Implement statistical models or machine learning algorithms to detect unusual patterns indicative of anomalies.,Algorithms,Hard
31,Implement a robust text editor with features like auto-complete and syntax highlighting.,"Consider efficient data structures for text storage (like gap buffers), and algorithms for syntax parsing.",Algorithms,Hard
32,Implement a quantum algorithm for solving a well-known computational problem.,"Discuss quantum computing principles, qubit manipulation, and specific algorithms like Grover's or Shor's algorithm.",Algorithms,Hard
33,What is a trie?,"A trie is a tree-like data structure used to store strings efficiently for retrieval.""",Algorithms,Hard
34,What is a segment tree?,"A segment tree is a binary tree used for storing intervals and efficiently answering range queries.""",Algorithms,Hard
35,What is union-find algorithm?,"Union-Find (Disjoint Set Union) is used to track a partition of a set and supports union and find operations efficiently.""",Algorithms,Hard
36,What is the Floyd-Warshall algorithm?,"Floyd-Warshall finds shortest paths between all pairs of vertices in a weighted graph.""",Algorithms,Hard
37,What is the KMP algorithm?,"Knuth-Morris-Pratt (KMP) is a string-searching algorithm that avoids redundant comparisons.""",Algorithms,Hard
38,What is a max-flow algorithm?,"Max-flow algorithms (like Ford-Fulkerson) determine the maximum flow possible from source to sink in a network.""",Algorithms,Hard
39,What is the traveling salesman problem?,"It seeks the shortest possible route that visits each city once and returns to the origin.""",Algorithms,Hard
40,What is dynamic connectivity?,"Dynamic connectivity problems deal with efficient updates and queries to a graph's connected components.""",Algorithms,Hard
41,What are the advantages of using a microservices architecture?,"Advantages include easier scalability, flexibility in choosing technology, better fault isolation, and improved continuous deployment.",Back-end,Easy
42,What is back-end development?,"Back-end development focuses on server-side logic, databases, and application architecture.",Back-end,Easy
43,What is an API?,An API (Application Programming Interface) allows software components to communicate with each other.,Back-end,Easy
44,What is a server?,A server is a computer or system that provides data and services to other computers over a network.,Back-end,Easy
45,What is a database?,A database is an organized collection of structured data stored electronically.,Back-end,Easy
46,What is REST API?,REST API is an architectural style for designing networked applications using HTTP methods.,Back-end,Easy
47,What is HTTP?,HTTP (HyperText Transfer Protocol) is the protocol used for transferring web pages on the internet.,Back-end,Easy
48,What is a middleware?,Middleware is software that acts as a bridge between an application and the database or server.,Back-end,Easy
49,What is Node.js?,Node.js is a JavaScript runtime that allows running JavaScript on the server side.,Back-end,Easy
50,What is Express.js?,Express.js is a web application framework for Node.js that simplifies building web applications and APIs.,Back-end,Easy
51,What is CRUD?,"CRUD stands for Create, Read, Update, and Delete, the four basic operations of persistent storage.",Back-end,Easy
52,What is a 'race condition' in software development?,A race condition occurs when the system's behavior depends on the sequence or timing of other uncontrollable events.,Back-end,Medium
53,What is the difference between SQL and NoSQL databases?,"SQL databases are structured, use SQL, and are better for complex queries. NoSQL databases are flexible, scale well, and are good for hierarchical data storage.",Back-end,Medium
54,What are microservices and how do they differ from monolithic architectures?,"Microservices are a software development technique,a variant of the service-oriented architecture architectural style that structures an application as a collection of loosely coupled services. In a monolithic architecture, all components are interconnected and interdependent.",Back-end,Medium
55,Describe how you would implement a RESTful API in a back-end application.,"A RESTful API is implemented by setting up HTTP routes (GET, POST, PUT, DELETE) and handling requests and responses in a stateless manner, often using JSON.",Back-end,Medium
56,How do NoSQL databases handle data scaling compared to traditional SQL databases?,NoSQL databases are generally more scalable and provide superior performance for large-scale applications due to their flexibility in handling unstructured data.,Back-end,Medium
57,How does indexing improve database query performance?,"Indexing speeds up data retrieval operations by effectively creating a smaller, faster version of the database table.",Back-end,Medium
58,What is the difference between SQL and NoSQL databases?,"SQL databases are structured, use SQL, and are better for complex queries. NoSQL databases are flexible, scale well, and are good for hierarchical data storage.",Back-end,Medium
59,Describe how you would implement a RESTful API in a back-end application.,"A RESTful API is implemented by setting up HTTP routes (GET, POST, PUT, DELETE) and handling requests and responses in a stateless manner, often using JSON.",Back-end,Medium
60,How do NoSQL databases handle data scaling compared to traditional SQL databases?,NoSQL databases are generally more scalable and provide superior performance for large-scale applications due to their flexibility in handling unstructured data.,Back-end,Medium
61,What are the advantages of using a microservices architecture?,"Advantages include easier scalability, flexibility in choosing technology, better fault isolation, and improved continuous deployment.",Back-end,Medium
62,How does indexing improve database query performance?,"Indexing speeds up data retrieval operations by effectively creating a smaller, faster version of the database table.",Back-end,Medium
63,What is MVC architecture?,MVC (Model-View-Controller) is a design pattern that separates application logic into three interconnected components.,Back-end,Medium
64,What is a session?,A session stores user-specific data on the server side between HTTP requests.,Back-end,Medium
65,What is authentication vs authorization?,Authentication verifies identity; authorization checks permissions for access.,Back-end,Medium
66,What is JWT?,"JWT (JSON Web Token) is a compact, URL-safe token used to securely transmit information between parties.",Back-end,Medium
67,What is database normalization?,Normalization is the process of organizing data to reduce redundancy and improve integrity.,Back-end,Medium
68,What is an ORM?,ORM (Object-Relational Mapping) allows you to interact with a database using object-oriented programming concepts.,Back-end,Medium
69,What is SQL injection?,SQL injection is a security vulnerability where an attacker manipulates SQL queries through user input.,Back-end,Medium
70,What is asynchronous programming?,Asynchronous programming allows multiple operations to run concurrently without blocking execution.,Back-end,Medium
71,What is a web server?,A web server serves static content or forwards requests to application servers.,Back-end,Medium
72,What are environment variables?,Environment variables store configuration data and secrets used by applications during runtime.,Back-end,Medium
73,You're integrating payment gateways. What security concerns should you address?,"Validate transactions server-side, use HTTPS, encrypt sensitive data, and follow PCI-DSS guidelines.",Back-end,Medium
74,How do you handle long-running tasks in a back-end service?,Use background job queues (like Celery or Sidekiq) and async task processors.,Back-end,Medium
75,A sudden spike in traffic is overwhelming your API. How do you prevent downtime?,"Implement rate limiting, autoscaling, and caching layers (e.g., Redis, CDN).",Back-end,Medium
76,You need to send real-time updates from the server. What technology would you use?,Use WebSockets or server-sent events (SSE) for real-time bidirectional communication.,Back-end,Medium
77,What is a 'race condition' in software development?,A race condition occurs when the system's behavior depends on the sequence or timing of other uncontrollable events.,Back-end,Hard
78,What are microservices and how do they differ from monolithic architectures?,"Microservices are a software development technique,a variant of the service-oriented architecture architectural style that structures an application as a collection of loosely coupled services. In a monolithic architecture, all components are interconnected and interdependent.",Back-end,Hard
79,A reporting API is timing out. How do you optimize it?,"Add background jobs for report generation, use pagination, indexing, and caching of pre-computed results.",Back-end,Hard
80,How do you handle tight deadlines and pressure?,"I prioritize tasks based on impact, break them into manageable chunks, and communicate early if delays seem likely. Staying calm and focused is key.",Behavioral and HR (0-2 YOE),Easy
81,What motivates you as a software engineer?,Solving complex problems and seeing the real-world impact of my work keeps me motivated. Continuous learning also excites me.,Behavioral and HR (0-2 YOE),Easy
82,What is your preferred work environment?,"I prefer a collaborative, feedback-driven environment with autonomy and room for growth.",Behavioral and HR (0-2 YOE),Easy
83,How do you stay updated with industry trends?,"I follow engineering blogs, attend webinars, and participate in developer communities and meetups.",Behavioral and HR (0-2 YOE),Easy
84,What are you looking for in your next role?,"Opportunities to solve impactful problems, collaborate with skilled teammates, and grow both technically and as a leader.",Behavioral and HR (0-2 YOE),Easy
85,What is your approach to learning new technologies?,"I start with official docs and tutorials, build something small, and then try integrating it in real-world use cases.",Behavioral and HR (0-2 YOE),Easy
86,How do you prioritize when you're juggling multiple tasks?,"I assess deadlines and dependencies, use tools like Kanban, and frequently communicate status with my team and manager.",Behavioral and HR (0-2 YOE),Easy
87,What would your colleagues describe you as?,"As dependable, solution-focused, and always willing to help with technical challenges.",Behavioral and HR (0-2 YOE),Easy
88,How do you ensure effective communication in a remote or hybrid team?,"I over-communicate, document decisions, use async tools like Slack/Notion, and ensure regular check-ins.",Behavioral and HR (0-2 YOE),Medium
89,How do you handle working on legacy codebases?,"I approach it respectfully, understand its context, write tests around it, and improve incrementally.",Behavioral and HR (0-2 YOE),Medium
90,Describe a time when you went above and beyond your responsibilities.,"During a sprint, I helped QA automate some test cases to speed up release, even though it wasn't in my scope. It saved time for the whole team.",Behavioral and HR (2-5 YOE),Easy
91,Describe a situation where you had to learn something quickly to complete a task.,I was assigned to a project using a framework I hadn't worked with. I dedicated extra time to documentation and tutorials and was productive within a week.,Behavioral and HR (2-5 YOE),Easy
92,What do you value most in a team?,"Mutual respect, clear communication, ownership, and shared commitment to quality.",Behavioral and HR (2-5 YOE),Easy
93,Describe a time when you had a conflict with a teammate. How did you handle it?,"I once disagreed with a teammate over implementation strategy. I set up a meeting to understand their point of view, shared mine, and we agreed on a hybrid approach. It helped build mutual respect.",Behavioral and HR (2-5 YOE),Medium
94,Have you ever failed in a project? What did you learn from it?,"Yes, a module I developed failed QA due to misinterpreting requirements. I learned the importance of early stakeholder validation and improved my documentation habits.",Behavioral and HR (2-5 YOE),Medium
95,What is your biggest professional achievement so far?,"I led the migration of a monolith to microservices, reducing deployment time and improving team efficiency.",Behavioral and HR (2-5 YOE),Medium
96,Have you ever had a disagreement with your manager?,"Yes, regarding tech stack choice. I respectfully presented data and examples to support my opinion, but accepted their final decision professionally.",Behavioral and HR (2-5 YOE),Medium
97,What is your process when debugging a complex issue?,"Reproduce consistently, isolate layers (UI/backend/database), and use logs and tools like debuggers or profilers.",Behavioral and HR (2-5 YOE),Medium
98,Describe a time when you had to mentor someone.,"I mentored an intern on codebase and best practices. I scheduled weekly check-ins and encouraged questions, which helped them ramp up faster.",Behavioral and HR (2-5 YOE),Medium
99,What would you do if you received conflicting instructions from two stakeholders?,I'd clarify priorities and escalate if necessary to avoid misalignment and ensure the most critical needs are met.,Behavioral and HR (2-5 YOE),Hard
100,How do you handle negative feedback?,"I see it as an opportunity to grow. I ask clarifying questions, reflect, and create a plan to improve on the feedback.",Behavioral and HR (5+ YOE),Easy
101,What is your approach to code reviews?,"I focus on readability, logic, and potential bugs. I also make sure to keep my feedback constructive and collaborative.",Behavioral and HR (5+ YOE),Easy
102,What do you do when you're stuck on a problem for too long?,"I take a short break, try rubber-duck debugging, and then reach out to peers if still blocked.",Behavioral and HR (5+ YOE),Easy
103,How do you maintain work-life balance?,"I set clear boundaries, avoid work during personal time, and plan my week around both personal and work goals.",Behavioral and HR (5+ YOE),Easy
104,What's your long-term career goal?,To become a well-rounded tech leader who can drive both architecture and team growth.,Behavioral and HR (5+ YOE),Easy
105,Describe a situation where your team missed a deadline. What would you do differently?,We underestimated the testing effort. I'd now advocate for buffer time and involve QA earlier in the estimation phase.,Behavioral and HR (5+ YOE),Medium
106,How do you handle stress during critical production incidents?,"I stay calm, focus on identifying and isolating the issue, work with the team, and communicate status regularly until resolution.",Behavioral and HR (5+ YOE),Medium
107,How do you manage conflict within a team when it impacts progress?,"I actively listen to both parties, facilitate resolution by finding common ground, and if needed, escalate to the manager to ensure smooth progress.",Behavioral and HR (5+ YOE),Medium
108,Tell me about a project where you showed leadership.,"In a cross-functional feature, I took the lead in coordinating efforts, ensuring clear communication and successful delivery.",Behavioral and HR (5+ YOE),Medium
109,How would you handle a situation where a colleague isn't pulling their weight?,"I try to understand the reason first, offer help if needed, and if necessary, escalate to the lead to ensure project health.",Behavioral and HR (5+ YOE),Hard
110,What kind of manager helps you thrive?,"Someone who trusts, guides, and challenges me with regular feedback and growth opportunities.",Behavioral and HR (All levels),Easy
111,How do you handle repetitive or boring tasks?,"I try to automate them, and if not possible, I schedule them when my energy is low and use them as a mental break.",Behavioral and HR (All levels),Easy
112,How do you ensure your code is scalable and maintainable?,"By following SOLID principles, writing tests, and documenting decisions. I also review past projects to learn from experience.",Behavioral and HR (All levels),Easy
113,How do you ensure transparency in your work?,"I keep stakeholders informed, share progress in regular meetings, and update documentation for clarity.",Behavioral and HR (All levels),Easy
114,What do you think is the most important aspect of teamwork?,"Effective communication, mutual respect, and alignment on goals are critical for successful teamwork.",Behavioral and HR (All levels),Easy
115,What is your approach to giving feedback?,"I make sure it's specific, constructive, and delivered in a supportive manner, ideally during 1:1 conversations.",Behavioral and HR (All levels),Medium
116,What would you do if you noticed someone violating coding standards?,"I'd bring it up constructively during code review, and if it's repeated, offer to align on standards with the team.",Behavioral and HR (All levels),Medium
117,What's your process when solving a complex problem as part of a team?,"I collaborate with the team to break down the problem, brainstorm solutions, and then evaluate and choose the best one based on impact and feasibility.",Behavioral and HR (All levels),Medium
118,How do you balance quality with meeting deadlines?,"By breaking down tasks into manageable chunks, maintaining a focus on core functionality first, and iterating to improve as we go.",Behavioral and HR (All levels),Medium
119,Describe a time when you had to deliver bad news to a client or stakeholder.,"I had to inform a client of a delay due to a bug. I explained the root cause, how we'd fix it, and how we'd prevent it in future. They appreciated the transparency.",Behavioral and HR (All levels),Medium
120,What is your approach to prioritizing features for a project?,"I prioritize features based on customer needs, business impact, and technical feasibility, involving stakeholders in the decision-making process.",Behavioral and HR (All levels),Medium
121,What is your experience working in cross-functional teams?,"I've worked with product managers, designers, and QA teams to deliver features, ensuring smooth communication and alignment across all areas.",Behavioral and HR (All levels),Medium
122,Describe a time when you had to compromise.,"During estimation, we had to drop a feature to meet a deadline. I suggested keeping the core logic behind a feature flag to enable it later.",Behavioral and HR (All levels),Medium
123,Have you ever faced ethical challenges in your work?,"Yes, once I was asked to track more user data than was disclosed. I raised the concern, and it was resolved through legal compliance.",Behavioral and HR (All levels),Hard
124,Have you ever been part of a failed product or feature launch?,"Yes, a feature I worked on was underused. Post-mortem revealed lack of user research. I now advocate for involving users early.",Behavioral and HR (All levels),Hard
125,Write a C++ program to find the factorial of a number using recursion.,int factorial(int n) {\n    if (n == 0) return 1;\n    return n * factorial(n - 1);\n},C++,Easy
126,Write a C++ program to check if a number is prime.,bool is_prime(int n) {\n    if (n <= 1) return false;\n    for (int i = 2; i * i <= n; i++) {\n        if (n % i == 0) return false;\n    }\n    return true;\n},C++,Easy
127,Write a C++ program to find the largest element in an array.,"int largest_element(int arr[], int n) {\n    int max = arr[0];\n    for (int i = 1; i < n; i++) {\n        if (arr[i] > max) max = arr[i];\n    }\n    return max;\n}",C++,Easy
128,Write a C++ program to reverse an array.,"void reverse_array(int arr[], int n) {\n    int start = 0, end = n - 1;\n    while (start < end) {\n        swap(arr[start], arr[end]);\n        start++;\n        end--;\n    }\n}",C++,Easy
129,Write a C++ program to check if a string is a palindrome.,"bool is_palindrome(string str) {\n    int start = 0, end = str.length() - 1;\n    while (start < end) {\n        if (str[start] != str[end]) return false;\n        start++;\n        end--;\n    }\n    return true;\n}",C++,Easy
130,Write a C++ program to find the sum of digits of a number.,int sum_of_digits(int n) {\n    int sum = 0;\n    while (n > 0) {\n        sum += n % 10;\n        n /= 10;\n    }\n    return sum;\n},C++,Easy
131,Write a C++ program to count the occurrences of a character in a string.,"int count_occurrences(string str, char ch) {\n    int count = 0;\n    for (char c : str) {\n        if (c == ch) count++;\n    }\n    return count;\n}",C++,Easy
132,Write a C++ program to print Fibonacci numbers up to nth position.,"void fibonacci(int n) {\n    int a = 0, b = 1;\n    for (int i = 0; i < n; i++) {\n        cout << a << \ \"";\n        int temp = a;\n        a = b;\n        b = temp + b;\n    }\n}""",C++,Easy
133,Write a C++ program to find the minimum element in an array.,"int minimum_element(int arr[], int n) {\n    int min = arr[0];\n    for (int i = 1; i < n; i++) {\n        if (arr[i] < min) min = arr[i];\n    }\n    return min;\n}",C++,Easy
134,Write a C++ program to remove duplicates from an array.,"void remove_duplicates(int arr[], int& n) {\n    sort(arr, arr + n);\n    int j = 0;\n    for (int i = 1; i < n; i++) {\n        if (arr[i] != arr[j]) {\n            j++;\n            arr[j] = arr[i];\n        }\n    }\n    n = j + 1;\n}",C++,Easy
135,Write a C++ program to implement a binary search algorithm.,"int binary_search(int arr[], int n, int target) {\n    int left = 0, right = n - 1;\n    while (left <= right) {\n        int mid = left + (right - left) / 2;\n        if (arr[mid] == target) return mid;\n        else if (arr[mid] < target) left = mid + 1;\n        else right = mid - 1;\n    }\n    return -1;\n}",C++,Medium
136,Write a C++ program to find the common elements in two sorted arrays.,"void common_elements(int arr1[], int n1, int arr2[], int n2) {\n    int i = 0, j = 0;\n    while (i < n1 && j < n2) {\n        if (arr1[i] == arr2[j]) {\n            cout << arr1[i] << \ \"";\n            i++;\n            j++;\n        } else if (arr1[i] < arr2[j])\n            i++;\n        else\n            j++;\n    }\n}""",C++,Medium
137,Write a C++ program to implement a stack using an array.,"class Stack {\nprivate:\n    int arr[100], top;\npublic:\n    Stack() {\n        top = -1;\n    }\n    void push(int val) {\n        if (top == 99) cout << \Stack overflow\"";\n        else arr[++top] = val;\n    }\n    int pop() {\n        if (top == -1) return -1;\n        else return arr[top--];\n    }\n    bool is_empty() {\n        return top == -1;\n    }\n}""",C++,Medium
138,Write a C++ program to check if a string is an anagram of another string.,"bool is_anagram(string str1, string str2) {\n    if (str1.length() != str2.length()) return false;\n    sort(str1.begin(), str1.end());\n    sort(str2.begin(), str2.end());\n    return str1 == str2;\n}",C++,Medium
139,Write a C++ program to implement merge sort.,"void merge(int arr[], int left, int mid, int right) {\n    int n1 = mid - left + 1, n2 = right - mid;\n    int leftArr[n1], rightArr[n2];\n    for (int i = 0; i < n1; i++) leftArr[i] = arr[left + i];\n    for (int i = 0; i < n2; i++) rightArr[i] = arr[mid + 1 + i];\n    int i = 0, j = 0, k = left;\n    while (i < n1 && j < n2) {\n        if (leftArr[i] <= rightArr[j]) arr[k++] = leftArr[i++];\n        else arr[k++] = rightArr[j++];\n    }\n    while (i < n1) arr[k++] = leftArr[i++];\n    while (j < n2) arr[k++] = rightArr[j++];\n}",C++,Medium
140,Write a C++ program to find the longest common subsequence (LCS).,"int lcs(string str1, string str2) {\n    int m = str1.length(), n = str2.length();\n    int dp[m+1][n+1];\n    for (int i = 0; i <= m; i++) {\n        for (int j = 0; j <= n; j++) {\n            if (i == 0 || j == 0) dp[i][j] = 0;\n            else if (str1[i - 1] == str2[j - 1]) dp[i][j] = dp[i - 1][j - 1] + 1;\n            else dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]);\n        }\n    }\n    return dp[m][n];\n}",C++,Medium
141,Write a C++ program to implement a queue using two stacks.,"class Queue {\nprivate:\n    stack<int> s1, s2;\npublic:\n    void enqueue(int val) {\n        s1.push(val);\n    }\n    int dequeue() {\n        if (s2.empty()) {\n            while (!s1.empty()) {\n                s2.push(s1.top());\n                s1.pop();\n            }\n        }\n        if (s2.empty()) return -1;\n        int val = s2.top();\n        s2.pop();\n        return val;\n    }\n}",C++,Medium
142,Write a C++ program to implement a binary tree.,"class TreeNode {\npublic:\n    int value;\n    TreeNode* left, * right;\n    TreeNode(int val) : value(val), left(nullptr), right(nullptr) {}\n};\nclass BinaryTree {\nprivate:\n    TreeNode* root;\npublic:\n    BinaryTree() : root(nullptr) {}\n    void insert(int value) { root = insert_rec(root, value); }\nprivate:\n    TreeNode* insert_rec(TreeNode* node, int value) {\n        if (!node) return new TreeNode(value);\n        if (value < node->value) node->left = insert_rec(node->left, value);\n        else node->right = insert_rec(node->right, value);\n        return node;\n    }\n}",C++,Medium
143,Write a C++ program to detect a cycle in a directed graph.,"bool detect_cycle(int V, vector<int> adj[]) {\n    vector<int> visited(V, 0), recStack(V, 0);\n    for (int i = 0; i < V; i++) {\n        if (detect_cycle_util(i, adj, visited, recStack)) return true;\n    }\n    return false;\n}\nbool detect_cycle_util(int v, vector<int> adj[], vector<int>& visited, vector<int>& recStack) {\n    if (recStack[v]) return true;\n    if (visited[v]) return false;\n    visited[v] = recStack[v] = 1;\n    for (int u : adj[v]) {\n        if (detect_cycle_util(u, adj, visited, recStack)) return true;\n    }\n    recStack[v] = 0;\n    return false;\n}",C++,Medium
144,Write a C++ program to implement a heap.,"class MinHeap {\nprivate:\n    vector<int> heap;\npublic:\n    void insert(int val) {\n        heap.push_back(val);\n        int i = heap.size() - 1;\n        while (i != 0 && heap[(i - 1) / 2] > heap[i]) {\n            swap(heap[i], heap[(i - 1) / 2]);\n            i = (i - 1) / 2;\n        }\n    }\n    int extract_min() {\n        if (heap.size() == 0) return -1;\n        int root = heap[0];\n        if (heap.size() > 1) {\n            heap[0] = heap.back();\n            heap.pop_back();\n            min_heapify(0);\n        }\n        return root;\n    }\nprivate:\n    void min_heapify(int i) {\n        int left = 2 * i + 1, right = 2 * i + 2, smallest = i;\n        if (left < heap.size() && heap[left] < heap[smallest]) smallest = left;\n        if (right < heap.size() && heap[right] < heap[smallest]) smallest = right;\n        if (smallest != i) {\n            swap(heap[i], heap[smallest]);\n            min_heapify(smallest);\n        }\n    }\n}",C++,Medium
145,Write a C++ program to find the shortest path in an unweighted graph using BFS.,"class Graph {\n    unordered_map<int, list<int>> adjList;\n    public:\n        void addEdge(int u, int v) {\n            adjList[u].push_back(v);\n        }\n        void BFS(int start, int target) {\n            unordered_map<int, bool> visited;\n            unordered_map<int, int> parent;\n            queue<int> q;\n            visited[start] = true;\n            q.push(start);\n            while (!q.empty()) {\n                int node = q.front();\n                q.pop();\n                if (node == target) break;\n                for (auto neighbor : adjList[node]) {\n                    if (!visited[neighbor]) {\n                        visited[neighbor] = true;\n                        parent[neighbor] = node;\n                        q.push(neighbor);\n                    }\n                }\n            }\n            vector<int> path;\n            int node = target;\n            while (node != start) {\n                path.push_back(node);\n                node = parent[node];\n            }\n            path.push_back(start);\n            reverse(path.begin(), path.end());\n            for (auto n : path) cout << n << \ \"";\n        }\n};""",C++,Hard
146,Write a C++ program to find the longest common subsequence (LCS) of two strings.,"int LCS(string s1, string s2) {\n    int m = s1.length(), n = s2.length();\n    vector<vector<int>> dp(m + 1, vector<int>(n + 1, 0));\n    for (int i = 1; i <= m; i++) {\n        for (int j = 1; j <= n; j++) {\n            if (s1[i - 1] == s2[j - 1]) dp[i][j] = dp[i - 1][j - 1] + 1;\n            else dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]);\n        }\n    }\n    return dp[m][n];\n}",C++,Hard
147,Write a C++ program to implement a heap (priority queue) using an array.,"class MaxHeap {\n    vector<int> heap;\n    public:\n        MaxHeap() {}\n        void push(int value) {\n            heap.push_back(value);\n            int index = heap.size() - 1;\n            while (index > 0 && heap[index] > heap[(index - 1) / 2]) {\n                swap(heap[index], heap[(index - 1) / 2]);\n                index = (index - 1) / 2;\n            }\n        }\n        int pop() {\n            if (heap.empty()) return -1;\n            int root = heap[0];\n            heap[0] = heap.back();\n            heap.pop_back();\n            maxHeapify(0);\n            return root;\n        }\n    private:\n        void maxHeapify(int index) {\n            int left = 2 * index + 1, right = 2 * index + 2, largest = index;\n            if (left < heap.size() && heap[left] > heap[largest]) largest = left;\n            if (right < heap.size() && heap[right] > heap[largest]) largest = right;\n            if (largest != index) {\n                swap(heap[index], heap[largest]);\n                maxHeapify(largest);\n            }\n        }\n};",C++,Hard
148,Write a C++ program to detect a cycle in a directed graph using DFS.,"class Graph {\n    unordered_map<int, list<int>> adjList;\n    public:\n        void addEdge(int u, int v) {\n            adjList[u].push_back(v);\n        }\n        bool detectCycle() {\n            unordered_map<int, bool> visited, recStack;\n            for (auto it : adjList) {\n                if (!visited[it.first]) {\n                    if (detectCycleHelper(it.first, visited, recStack)) return true;\n                }\n            }\n            return false;\n        }\n    private:\n        bool detectCycleHelper(int node, unordered_map<int, bool>& visited, unordered_map<int, bool>& recStack) {\n            visited[node] = true;\n            recStack[node] = true;\n            for (auto neighbor : adjList[node]) {\n                if (!visited[neighbor] && detectCycleHelper(neighbor, visited, recStack)) return true;\n                else if (recStack[neighbor]) return true;\n            }\n            recStack[node] = false;\n            return false;\n        }\n};",C++,Hard
149,Write a C++ program to implement a binary heap.,"class BinaryHeap {\n    vector<int> heap;\n    public:\n        void insert(int value) {\n            heap.push_back(value);\n            int index = heap.size() - 1;\n            while (index > 0 && heap[index] < heap[(index - 1) / 2]) {\n                swap(heap[index], heap[(index - 1) / 2]);\n                index = (index - 1) / 2;\n            }\n        }\n        int extractMin() {\n            if (heap.empty()) return -1;\n            int minVal = heap[0];\n            heap[0] = heap.back();\n            heap.pop_back();\n            minHeapify(0);\n            return minVal;\n        }\n    private:\n        void minHeapify(int index) {\n            int left = 2 * index + 1, right = 2 * index + 2, smallest = index;\n            if (left < heap.size() && heap[left] < heap[smallest]) smallest = left;\n            if (right < heap.size() && heap[right] < heap[smallest]) smallest = right;\n            if (smallest != index) {\n                swap(heap[index], heap[smallest]);\n                minHeapify(smallest);\n            }\n        }\n};",C++,Hard
